stat,integer,nonnegative,len,mean,std,max,min,zeros
Age,True,True,1030,26.3981,4.05482,43,18,0
GP,True,True,1030,32.5,19.5544,57,1,0
G,True,True,1030,5.12718,6.20416,41,0,0.262136
A,True,True,1030,8.62233,9.4042,72,0,0.161165
PTS,True,True,1030,13.7495,14.6095,105,0,0.126214
+/-,True,False,1030,-0.504854,8.62957,30,-36,0.0951456
PIM,True,True,1030,14.2544,13.907,96,0,0.133981
PS,False,False,1030,1.60699,1.96351,13,-1.1,0.0747573
EV,True,True,1030,4.0068,4.59643,31,0,0.270874
PP,True,True,1030,0.993204,2.02435,15,0,0.673786
SH,True,True,1030,0.127184,0.458299,5,0,0.906796
GW,True,True,1030,0.813592,1.44081,12,0,0.619417
EV.1,True,True,1030,6.60097,6.39728,44,0,0.168932
PP.1,True,True,1030,1.89612,3.66032,28,0,0.607767
SH.1,True,True,1030,0.125243,0.392705,3,0,0.893204
S,True,True,1030,53.5223,45.6184,222,0,0.0271845
S%,False,True,1002,8.06287,8.40795,100,0,0.241517
TOI,True,True,1030,534.335,382.698,1477,4,0
BLK,True,True,1030,23.4864,24.5043,168,0,0.0582524
HIT,True,True,1030,40.1951,37.1073,250,0,0.0281553
FOW,True,True,1030,48.9029,111.84,714,0,0.461165
FOL,True,True,1030,49.1563,103.376,586,0,0.420388
FO%,False,True,609,41.6803,18.5949,100,0,0.08867
